,Year,Percentage,Country,Activities
124,2018,9.1,SOUTH.AFRICA,cultural events & festivals
125,2018,7.2,CENTRAL.ASIA,cultural events & festivals
133,2019,5.5,SINGAPORE,cultural events & festivals
134,2019,2.9,THAILAND,cultural events & festivals
135,2019,5.1,INDONESIA,cultural events & festivals
136,2019,3.9,BRUNEI,cultural events & festivals
137,2019,6.5,PHILIPPINES,cultural events & festivals
138,2019,16.4,VIETNAM,cultural events & festivals
139,2019,8,CHINA,cultural events & festivals
140,2019,10.8,JAPAN,cultural events & festivals
141,2019,9,SOUTH.KOREA,cultural events & festivals
142,2019,2.8,TAIWAN,cultural events & festivals
143,2019,17.2,INDIA,cultural events & festivals
144,2019,4,PAKISTAN,cultural events & festivals
145,2019,20.3,SAUDI.ARABIA,cultural events & festivals
146,2019,11,UNITED.ARAB.EMIRATES,cultural events & festivals
147,2019,16.4,OMAN,cultural events & festivals
148,2019,8.7,KUWAIT,cultural events & festivals
149,2019,7.6,IRAN,cultural events & festivals
150,2019,6.4,CANADA,cultural events & festivals
151,2019,14.1,USA,cultural events & festivals
152,2019,15,UNITED.KINGDOM,cultural events & festivals
153,2019,9.7,IRELAND,cultural events & festivals
154,2019,16.4,SWEDEN,cultural events & festivals
155,2019,17.9,DENMARK,cultural events & festivals
156,2019,20,FINLAND,cultural events & festivals
157,2019,7.3,NORWAY,cultural events & festivals
158,2019,12.5,ITALY,cultural events & festivals
159,2019,25.8,SPAIN,cultural events & festivals
160,2019,17,FRANCE,cultural events & festivals
161,2019,11.7,BELGIUM,cultural events & festivals
162,2019,16.1,NETHERLANDS,cultural events & festivals
163,2019,23.5,GERMANY,cultural events & festivals
164,2019,28.2,SWITZERLAND,cultural events & festivals
165,2019,14.3,RUSSIA,cultural events & festivals
166,2019,12.4,AUSTRALIA,cultural events & festivals
167,2019,4.2,NEW.ZEALAND,cultural events & festivals
168,2019,9.6,SOUTH.AFRICA,cultural events & festivals
169,2019,9.2,CENTRAL.ASIA,cultural events & festivals
177,2016,89.2,SINGAPORE,shopping
178,2016,77.8,THAILAND,shopping
179,2016,78.8,INDONESIA,shopping
180,2016,94.3,BRUNEI,shopping
181,2016,81.3,PHILIPPINES,shopping
182,2016,94.6,VIETNAM,shopping
183,2016,96.1,CHINA,shopping
184,2016,83.1,JAPAN,shopping
185,2016,68.8,SOUTH.KOREA,shopping
186,2016,93.4,TAIWAN,shopping
187,2016,82.2,INDIA,shopping
188,2016,88.7,PAKISTAN,shopping
189,2016,94.4,SAUDI.ARABIA,shopping
190,2016,87.8,UNITED.ARAB.EMIRATES,shopping
191,2016,92.2,OMAN,shopping
192,2016,100,KUWAIT,shopping
193,2016,92.2,IRAN,shopping
194,2016,69.7,CANADA,shopping
195,2016,73.8,USA,shopping
196,2016,73.4,UNITED.KINGDOM,shopping
197,2016,74.7,IRELAND,shopping
198,2016,87.8,SWEDEN,shopping
199,2016,88.5,DENMARK,shopping
200,2016,80.9,FINLAND,shopping
201,2016,89.1,NORWAY,shopping
202,2016,73.9,ITALY,shopping
203,2016,69.5,SPAIN,shopping
204,2016,70.9,FRANCE,shopping
205,2016,79.2,BELGIUM,shopping
206,2016,76.5,NETHERLANDS,shopping
207,2016,71,GERMANY,shopping
208,2016,76,SWITZERLAND,shopping
209,2016,72.7,RUSSIA,shopping
210,2016,76.5,AUSTRALIA,shopping
211,2016,89,NEW.ZEALAND,shopping
212,2016,73.6,SOUTH.AFRICA,shopping
213,2016,88.9,CENTRAL.ASIA,shopping
221,2017,88.4,SINGAPORE,shopping
222,2017,48.7,THAILAND,shopping
223,2017,67,INDONESIA,shopping
224,2017,87.6,BRUNEI,shopping
225,2017,73.5,PHILIPPINES,shopping
226,2017,88.8,VIETNAM,shopping
227,2017,32.6,CHINA,shopping
228,2017,34,JAPAN,shopping
229,2017,24.6,SOUTH.KOREA,shopping
230,2017,26.4,TAIWAN,shopping
231,2017,68.8,INDIA,shopping
232,2017,61.6,PAKISTAN,shopping
233,2017,45.5,SAUDI.ARABIA,shopping
234,2017,59.7,UNITED.ARAB.EMIRATES,shopping
235,2017,48.9,OMAN,shopping
236,2017,43.5,KUWAIT,shopping
237,2017,76.8,IRAN,shopping
238,2017,22.7,CANADA,shopping
239,2017,29.9,USA,shopping
240,2017,29.7,UNITED.KINGDOM,shopping
241,2017,42.3,IRELAND,shopping
242,2017,31.9,SWEDEN,shopping
243,2017,39.2,DENMARK,shopping
244,2017,47.1,FINLAND,shopping
245,2017,44.2,NORWAY,shopping
246,2017,28,ITALY,shopping
247,2017,34.5,SPAIN,shopping
248,2017,34.8,FRANCE,shopping
249,2017,26.7,BELGIUM,shopping
250,2017,32.5,NETHERLANDS,shopping
251,2017,28.6,GERMANY,shopping
252,2017,28.9,SWITZERLAND,shopping
